Source: http://avoe.at/Rententafel/AVOe2005R.xls (08.08.2019)

Alter,q(2001)Einzel(u)
0,0.0033883120000000
1,0.0002657440000000
2,0.0001813840000000
3,0.0001214240000000
4,0.0000921200000000
5,0.0000791280000000
6,0.0000770800000000
7,0.0000784739942467
8,0.0000782676027061
9,0.0000787313706687
10,0.0000807471101064
11,0.0000833985720085
12,0.0000884825262876
13,0.0001061111407635
14,0.0001460538947410
15,0.0002042984149710
16,0.0002737397320822
17,0.0003529107695450
18,0.0004146779356996
19,0.0004342449275093
20,0.0004275324521110
21,0.0004183253905121
22,0.0004104701578404
23,0.0003999987990512
24,0.0003910153075066
25,0.0003902716937374
26,0.0003932880000000
27,0.0003937842408935
28,0.0003910884145881
29,0.0003882165246075
30,0.0003916325855849
31,0.0004114566192548
32,0.0004463286206849
33,0.0004904725725630
34,0.0005326724536899
35,0.0005700002614511
36,0.0006149520000000
37,0.0006816636507796
38,0.0007677751812335
39,0.0008664465689028
40,0.0009737098015754
41,0.0010663015000930
42,0.0011571523484335
43,0.0012494354863556
44,0.0013458047068789
45,0.0014518265480509
46,0.0015745202545977
47,0.0017115848196425
48,0.0018578788134120
49,0.0020125206283666
50,0.0021784670046516
51,0.0023502560955290
52,0.0025199822268521
53,0.0026809657365624
54,0.0028320179421661
55,0.0029754588719821
56,0.0031142608388155
57,0.0032478280140401
58,0.0033795438856002
59,0.0035193564051394
60,0.0036803947185391
61,0.0039716526062972
62,0.0043199951784927
63,0.0047386232429924
64,0.0052338536140489
65,0.0058079657917056
66,0.0064695167892061
67,0.0072254068249855
68,0.0080814478304169
69,0.0090486255090423
70,0.0101471273638587
71,0.0113996616151660
72,0.0128373972268710
73,0.0144959243838801
74,0.0164203776231416
75,0.0186578533849427
76,0.0212547087686309
77,0.0242669108998598
78,0.0277591689135839
79,0.0317981701993716
80,0.0364772131959660
81,0.0419003270937182
82,0.0481737623134331
83,0.0553365192024620
84,0.0634349236575664
85,0.0726603854576785
86,0.0832107451363271
87,0.0949554413817138
88,0.1080250726565570
89,0.1229323563487810
90,0.1398820712368890
91,0.1589668641323200
92,0.1803337802744210
93,0.2038965340289910
94,0.2294539634153410
95,0.2565713701975220
96,0.2850876082795840
97,0.3150666123704320
98,0.3469549583720520
99,0.3807591718201400
100,0.4162735992577450
101,0.4432687478654370
102,0.4704593801211400
103,0.4977967862237120
104,0.5252496402914210
105,0.5527892269561750
106,0.5803800849633480
107,0.6079890257656860
108,0.6355878886432840
109,0.6631542744218440
110,0.6906727134184240
111,0.7181344549601670
112,0.7455369504061780
113,0.7787444862400800
114,0.8039419715111290
115,0.8277225904135230
116,0.8499626007195810
117,0.8705628082348090
118,0.8894510122880550
119,0.9065839403826060
120,0.9219484265763120
