"x"
"1" 4614844.70476426
"2" 4868807.35333386
"3" 5082612.87676909
"4" 5260445.76089573
"5" 5396273.88482956
"6" 5495603.60433647
"7" 5577681.80336193
"8" 5643634.66898351
"9" 5693914.98494351
"10" 5726873.03358347
"11" 5742033.67303677
"12" 5747942.90910313
"13" 5743073.37226291
"14" 5726660.33383684
"15" 5697688.18052162
"16" 5655053.08117029
"17" 5600510.34296588
"18" 5533640.06113042
"19" 5453755.54696097
"20" 5360789.78162143
"21" 5254102.27984393
"22" 5134106.30606861
"23" 5001346.93501544
"24" 4856530.6046072
"25" 4700743.91913969
"26" 4535104.89078528
"27" 4360594.49390046
"28" 4179015.13778883
"29" 3991571.521158
"30" 3800267.45253388
"31" 3606778.08440105
"32" 3415676.01904525
"33" 3166523.58655743
"34" 2924392.60767596
"35" 2685905.13476864
"36" 2467340.04337238
"37" 2256035.94126236
"38" 2036195.1194273
"39" 1845783.40299295
"40" 1658578.96098598
"41" 1467305.76415971
"42" 1301870.03620527
"43" 982840.53006267
"44" 699856.83639586
"45" 426298.06003828
"46" 129171.22842782
"47" 80387.14705785
"48" 59176.40233785
"49" 44727.78296839
"50" 37287.76396319
"51" 28933.40773098
"52" 21783.61613056
"53" 16921.87977881
"54" 12746.09247498
"55" 4216.94518565
"56" 0
"57" 0
"58" 0
"59" 0
"60" 0
"61" 0
